study,locus,unique_v3j,unique_vdj,reads,url
Prohaska et al. (2018),IGK,190,218,218,http://www.jimmunol.org/content/200/5/1702.long
Galson et al. (2015),IGH,1500676,6266194,9629541,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/
Rubelt et al. (2016),IGH,887451,3549425,3949516,https://www.nature.com/articles/ncomms11112
Davis et al. (2019),IGH,4644474,21609156,23489916,https://www.sciencedirect.com/science/article/pii/S0092867419304556#!
Pei et al. (2017),IGH,48469,105925,133056,http://www.pnas.org/content/114/40/E8411.long#sec-1
Rettig et al. (2018),IGH,8620,19467,19528,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190982
Joyce et al. (2016),IGK,1733,7384,7417,https://dx.doi.org/10.1016/j.cell.2016.06.043
Johnson et al. (2018),IGK,49,58,58,https://www.nature.com/articles/s41467-018-06424-6#MOESM1
Corcoran et al. (2016),IGL,72079,290170,346524,https://dx.doi.org/10.1038/ncomms13642
Sundling et al. (2014),IGK,78,79,80,https://www.ncbi.nlm.nih.gov/pubmed/24623130
Gupta et al. (2017),IGK,1888785,20155738,29973854,https://doi.org/10.4049/jimmunol.1601850
Pei et al. (2017),IGK,1,1,3,http://www.pnas.org/content/114/40/E8411.long#sec-1
Rettig et al. (2018),IGL,265,3677,3723,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190982
Menzel et al. (2014),IGL,104,209,211,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014543/
