repertoire,locus,unique_v3j,unique_vdj,reads
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S77_Naive-B-Cells_igblastn_IGHM,IGH,54559,164158,186028
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S75_Naive-B-Cells_igblastn_Bulk,IGL,10539,92854,130155
Parameswaran_2014_Acute_Bulk_208_Acute_iglblastn_Bulk,IGH,932,2773,3725
Vander_Heiden_2017_Heavy_MK04_IGHE_MK04_Memory_Bcells_age54_Musk_disease-19_stageIIb_iglblastn_igblastn_IGHE,IGL,27,52,79
Liao_2013_Heavy_IGHE_CH505-IGH-wk092_iglblastn_igblastn_IGHE,IGH,17,19,19
Briney_2019_Subject_326907_IgM_Subject-326907_Replicate-12_Isotype-IgM,IGH,93424,173225,173257
Levin_2015_NoSIT_timepoint-0_tissue-Biopsy_IGHM_NoSIT_tissue-Biopsy_subject-15_timepoint-0_Age-24_SRR5755080_iglblastn_iglblastn_IGHM,IGH,459,826,1188
Ellebedy_2016_Day-7_HA-positive-activated-B-cell_IGHM_HA-positive-activated-B-cell_Day-7_Donor-8_igblastn_IGHM,IGH,2034,61124,131866
Vergani_2017_B12_age-36_IGHG_B12_age-36_iglblastn_IGHG,IGH,1071,2348,2778
Schanz_2014_H_chain_HD1_prep4_IGHA_HD1_prep4_nucleotide_renamed_igblastn_IGHA,IGK,1,1,1
Vander_Heiden_2017_Heavy_AR03_IGHE_AR03_Naive_Bcells_age18_ACh_disease-2years_stageI_iglblastn_igblastn_IGHE,IGK,30,38,38
Zhu_2013_Heavy_IGHG_Donor_C38_Run6_iglblastn_igblastn_IGHG,IGH,4,5,5
Thornqvist_2018_Donor-4_Bone-Marrow_IGHD_Donor_4_bone_marrow_sample_2_igblastn_IGHD,IGH,16,16,16
Wu_2015_Light_Visit_0_L-chain_0-visit_1995-year_03-month_20-day_iglblastn,IGL,2,2,2
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-14_Isotype-IgA,IGH,19,22,22
Stern_2014_M3_IGHD_M3_Lesion_74y_ILLUMINA_iglblastn_igblastn_IGHD,IGH,292,4934,6517
Turchaninova_2016_IGHA_B_naive_donor_3_iglblastn_igblastn_IGHA,IGH,839,3356,3356
Galson_2015_Visit-2_Subject-1001_IgG_Subject-1001_Visit-2_treatment-MenACWY-conjugate_HLA-DR+-Plasma-cells_IgG_iglblastn,IGH,14416,78751,97675
Waltari_2018_Heavy_Healthy_PBMCs_IGHM_Heavy_Healthy_PBMCs_BD5a_igblastn_IGHM,IGH,8,8,8
Mroczek_2014_IGHA_Plasmacytes_iglblastn_igblastn_IGHA,IGH,1236,4183,4207
Briney_2019_Subject_316188_IgM_Subject-316188_Replicate-13_Isotype-IgM,IGH,97850,287361,287905
Briney_2019_Subject_326713_IgG_Subject-326713_Replicate-16_Isotype-IgG,IGH,332412,798837,798859
Briney_2019_Subject_327059_IgM_Subject-327059_Replicate-14_Isotype-IgM,IGH,483356,1191870,1192975
Vander_Heiden_2017_Heavy_AR02_IGHA_AR02_Naive_Bcells_age61_ACh_disease-1year_stageIIIa_iglblastn_igblastn_IGHA,IGL,128,563,854
Ellebedy_2016_Day-90_memory-B-cell_IGHM_memory-B-cell_Day-90_Donor-5_igblastn_IGHM,IGH,62620,383199,452414
Wu_2015_Light_Visit_H_L-chain_H-visit_2009-year_06-month_02-day_iglblastn,IGL,2,2,2
Briney_2019_Subject_316188_IgA_Subject-316188_Replicate-1_Isotype-IgA,IGH,33,38,38
Levin_2015_NoSIT_timepoint-365_tissue-PBMC_IGHD_NoSIT_tissue-PBMC_subject-16_timepoint-365_Age-47_SRR5755009_iglblastn_iglblastn_IGHD,IGH,1224,1270,1382
Briney_2019_Subject_326907_unknown_Subject-326907_Replicate-7_Isotype-unknown,IGK,122,139,139
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-4_timepoint-365_Age-36_SRR5754986_iglblastn_iglblastn_IGHA,IGH,1126,1388,1592
Gupta_2017_Heavy_GMC_volunteer_IGHD_GMC_after_1h_SRX2251675_iglblastn_igblastn_IGHD,IGL,380,515,574
Gupta_2017_Light_Fv_volunteer_FV_after_1h_SRX2251683_iglblastn,IGH,44578,196791,207345
Waltari_2018_Heavy_Healthy_cord-blood-cells_IGHA_Heavy_Healthy_cord-blood-cells_CB4_igblastn_IGHA,IGL,9,10,10
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHD_SIT_tissue-PBMC_subject-4_timepoint-56_Age-36_SRR5755000_iglblastn_iglblastn_IGHD,IGH,1629,1679,1810
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_SC2_IGA_igblastn_Bulk,IGK,10,10,35
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S84_Naive-B-Cells_igblastn_Bulk,IGH,379,514,573
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHM_SIT_tissue-PBMC_subject-2_timepoint-0_Age-30_SRR5755036_iglblastn_iglblastn_IGHM,IGH,1667,1736,1862
Briney_2019_Subject_326907_IgM_Subject-326907_Replicate-18_Isotype-IgM,IGH,50628,75104,75134
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S4_Naive-B-Cells_igblastn_Bulk,IGK,22070,279375,478878
Rubelt_2016_TWINs_4_TW04B_IGHE_TW04B_B_memory_iglblastn_IGHE,IGH,63,97,97
Schanz_2014_H_chain_159_wk213_Bulk_Schanz_159_wk213_nucleotide_renamed_igblastn_Bulk,IGH,68588,872719,939903
Waltari_2018_Heavy_Healthy_cord-blood-cells_IGHM_Heavy_Healthy_cord-blood-cells_CB4_igblastn_IGHM,IGH,79037,1158685,1522148
Wu_2014_Allergic-rhinitis-out-of-season_IGHG_Patient_310_Allergic-rhinitis-out-of-season_age-33_iglblastn_IGHG,IGH,439,535,549
Vergani_2017_B13_age-59_IGHA_B13_age-59_iglblastn_IGHA,IGH,241,296,336
Briney_2019_Subject_D103_unknown_Subject-D103_Replicate-7_Isotype-unknown,IGK,3,3,3
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHE_SIT_tissue-PBMC_subject-6_timepoint-365_Age-41_SRR5754984_iglblastn_iglblastn_IGHE,IGH,143,550,1893
Vander_Heiden_2017_Heavy_HD13_IGHD_HD13_Naive_Bcells_age51_healty_iglblastn_igblastn_IGHD,IGK,59,62,62
Vander_Heiden_2017_Heavy_HD13_IGHG_HD13_Naive_Bcells_age51_healty_iglblastn_igblastn_IGHG,IGK,128,141,150
Gupta_2017_Light_GMC_volunteer_GMC_before_2d_SRX2251676_iglblastn,IGH,36480,145674,219617
Davis_2019_Heavy_EVD2_IGHD_Heavy_EVD2_EBOLA_6month_PBMC_igblastn_IGHD,IGH,102691,143830,143953
Vander_Heiden_2017_Heavy_HD10_IGHD_HD10_Naive_Bcells_age31_healthy_iglblastn_igblastn_IGHD,IGH,2470,8735,12283
Gupta_2017_Heavy_IB_volunteer_IGHA_IB_after_3w_SRX2251664_iglblastn_igblastn_IGHA,IGH,12560,52473,61460
Halliley_2015_HuBM_IGHG_SRR2124225_iglblastn_igblastn_IGHG,IGH,25236,81753,83995
Schanz_2014_H_chain_HD1_prep4_IGHE_HD1_prep4_nucleotide_renamed_igblastn_IGHE,IGH,370,680,751
Vander_Heiden_2017_Heavy_AR04_Bulk_AR04_Memory_Bcells_age13_ACh_disease-1year_stageI_iglblastn_igblastn_Bulk,IGK,28652,105454,178805
Vander_Heiden_2017_Heavy_HD07_Bulk_HD07_Unsorted_Bcells_age33_healthy_iglblastn_igblastn_Bulk,IGK,16155,151277,390983
Gupta_2017_Heavy_IB_volunteer_IGHM_IB_after_3w_SRX2251664_iglblastn_igblastn_IGHM,IGL,80,89,92
Wu_2014_Allergic-rhinitis-out-of-season_IGHA_Patient_306_Allergic-rhinitis-out-of-season_age-27_iglblastn_IGHA,IGH,2157,2688,2876
Thornqvist_2018_Donor-4_Bone-Marrow_IGHM_Donor_4_bone_marrow_sample_2_igblastn_IGHM,IGH,83706,315351,318612
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S58_Naive-B-Cells_igblastn_Bulk,IGL,7669,55620,70012
Zhu_2013_Heavy_IGHE_Donor_C38_Run1_iglblastn_igblastn_IGHE,IGH,157,158,158
Briney_2019_Subject_326737_IgG_Subject-326737_Replicate-7_Isotype-IgG,IGH,54410,110331,110494
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHM_SIT_tissue-PBMC_subject-5_timepoint-0_Age-23_SRR5755041_iglblastn_iglblastn_IGHM,IGH,1336,1860,2210
Schanz_2014_L_chain_HD1_prep4_HD1_prep4_nucleotide_renamed_igblastn_Bulk,IGL,89242,694310,694480
Doria-Rose_2015_Heavy_Week48_IGHE_CAP256-Week48-Heavy_iglblastn_IGHE,IGH,25,25,25
Briney_2019_Subject_326713_IgE_Subject-326713_Replicate-10_Isotype-IgE,IGH,1233,1311,1311
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S64_Naive-B-Cells_igblastn_IGHG,IGH,24,80,82
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S23_Naive-B-Cells_igblastn_IGHM,IGH,61422,115616,127570
Galson_2015_Visit-2_Subject-1010_IgG_Subject-1010_Visit-2_treatment-MenACWY-conjugate_HLA-DR+-Plasma-cells_IgG_iglblastn,IGH,10300,67548,87605
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S43_Naive-B-Cells_igblastn_IGHD,IGH,6681,21498,25958
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_Bulk_NoSIT_tissue-PBMC_subject-12_timepoint-0_Age-24_SRR5755092_iglblastn_iglblastn_Bulk,IGH,5973,6877,7749
Bashford_2013_CLL_subject-11_Bulk_CLL_subject-11_Age-81_repeat-3_iglblastn_Bulk,IGH,193,1719,6167
Gupta_2017_Heavy_IB_volunteer_IGHM_IB_before_8d_SRX2251666_iglblastn_igblastn_IGHM,IGL,107,112,112
Bashford_2013_Healthy_subject-4_Bulk_Healthy_subject-4_Age-67_repeat-1_iglblastn_Bulk,IGH,5435,5916,5982
Briney_2019_Subject_327059_IgG_Subject-327059_Replicate-8_Isotype-IgG,IGH,103324,398716,399120
Galson_2015_Visit-2_Subject-1001_IgM_Subject-1001_Visit-2_treatment-MenACWY-conjugate_HLA-DR--Plasma-cells_IgM_iglblastn,IGH,8741,69098,129797
Vander_Heiden_2017_Light_HD07_HD07_Memory_Bcells_age33_healthy_iglblastn,IGL,16618,112411,155357
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S54_Naive-B-Cells_igblastn_IGHA,IGH,325,4811,5327
Vander_Heiden_2017_Heavy_HD07_Bulk_HD07_Naive_Bcells_age33_healthy_iglblastn_igblastn_Bulk,IGH,1909,2404,2419
Ellebedy_2016_Day-0_peripheral-blood-mononuclear-cell_IGHM_peripheral-blood-mononuclear-cell_Day-0_Donor-163_igblastn_IGHM,IGH,11593,72632,73631
Ellebedy_2016_Day-0_peripheral-blood-mononuclear-cell_IGHD_peripheral-blood-mononuclear-cell_Day-0_Donor-157_igblastn_IGHD,IGH,77751,92024,92039
Briney_2019_Subject_326737_IgD_Subject-326737_Replicate-2_Isotype-IgD,IGH,98,106,106
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S99_Naive-B-Cells_igblastn_IGHG,IGL,1,1,1
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S59_Naive-B-Cells_igblastn_Bulk,IGK,31471,259091,457287
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S79_Naive-B-Cells_igblastn_IGHG,IGH,14,46,70
Vander_Heiden_2017_Heavy_HD13_IGHA_HD13_Naive_Bcells_age51_healty_iglblastn_igblastn_IGHA,IGH,119,451,550
Greiff_2015_naive_b_IGM_naive_b_igblastn,IGK,1,1,1
Gupta_2017_Light_GMC_volunteer_GMC_after_3d_SRX2251670_iglblastn,IGK,123257,407510,699763
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-6_timepoint-0_Age-41_SRR5755040_iglblastn_iglblastn_IGHA,IGH,1536,1925,2279
Thornqvist_2018_Donor-6_Bone-Marrow_IGHD_Donor_6_bone_marrow_sample_1_igblastn_IGHD,IGH,23,23,23
Mroczek_2014_Bulk_Memory-B-cell-IgD-negative_iglblastn_igblastn_Bulk,IGH,7059,7532,7577
Ellebedy_2016_Day-7_HA-positive-antibody-secreting-cell_IGHM_HA-positive-antibody-secreting-cell_Day-7_Donor-5_igblastn_IGHM,IGH,317,23069,58981
Corcoran_2016_heavy_rhesus_rhesus_heavy_F132_igblastn,IGK,6,6,6
Ellebedy_2016_Day-90_memory-B-cell_IGHA_memory-B-cell_Day-90_Donor-6_igblastn_IGHA,IGH,75121,218453,222495
Galson_2016_Visit-5_Subject-2954_Total-B-cells_Subject-2954_Visit-5_age-20_Total-B-cells_iglblastn,IGH,72238,180763,214433
Wu_2015_Heavy_Visit_A_IGHE_H-3-chain_A-visit_2001-year_07-month_30-day_iglblastn_iglblastn_IGHE,IGH,78,79,79
Rubelt_2016_TWINs_5_TW05B_IGHD_TW05B_B_naive_iglblastn_IGHD,IGH,4319,17460,30095
Jiang_2013_FLU_IGHG_SRR747767_iglblastn_igblastn_IGHG,IGH,80478,221742,283486
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S7_Naive-B-Cells_igblastn_Bulk,IGH,313,331,337
Bashford_2013_CLL_subject-7_Bulk_CLL_subject-7_Age-69_repeat-4_iglblastn_Bulk,IGH,118,767,1728
Galson_2016_Visit-4_Subject-2752_Total-B-cells_Subject-2752_Visit-4_age-38_Total-B-cells_iglblastn,IGH,58017,193599,249368
Gupta_2017_Light_IB_volunteer_IB_after_3w_SRX2251664_iglblastn,IGL,53342,235081,310928
Gupta_2017_Heavy_IB_volunteer_IGHE_IB_after_2w_SRX2251658_iglblastn_igblastn_IGHE,IGK,93,109,130
Gupta_2017_Heavy_IB_volunteer_Bulk_IB_before_8d_SRX2251666_iglblastn_igblastn_Bulk,IGK,112801,382115,482192
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S85_Naive-B-Cells_igblastn_IGHG,IGH,5,7,9
Bonsignori_2016_Hiv_infected_week-100_IGHE_HIV_infected_week-100_week_repeat-6_PBMC_iglblastn_igblastn_IGHE,IGH,1,1,1
Banerjee_2017_terminal_bleed_terminal_bleed_PBMC_second_sample_iglblastn,IGK,97745,1008466,1728520
Briney_2019_Subject_326650_IgG_Subject-326650_Replicate-2_Isotype-IgG,IGL,2,2,2
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-2_timepoint-56_Age-30_SRR5755015_iglblastn_iglblastn_IGHA,IGH,1080,1531,1763
Wu_2014_Allergic-rhinitis-out-of-season_IGHA_Patient_311_Allergic-rhinitis-out-of-season_age-41_iglblastn_IGHA,IGH,1197,1533,1606
Johnson_2018_Heavy_Visit-206_CAP256_Heavy_Visit-206_CAP256_PBMC_Part-2,IGL,116,134,135
Eliyahu_2018_Heavy_HCV_IGM_Bulk_HCV_SC8_IGM_igblastn_Bulk,IGH,259,370,750
Ellebedy_2016_Day-28_HA-negative-memory-B-cell_IGHM_HA-negative-memory-B-cell_Day-28_Donor-4_igblastn_IGHM,IGH,4299,76748,93184
Waltari_2018_Heavy_Healthy_PBMCs_IGHG_Heavy_Healthy_PBMCs_BD1h_igblastn_IGHG,IGH,31501,250867,320987
Briney_2019_Subject_326651_IgD_Subject-326651_Replicate-5_Isotype-IgD,IGH,326,342,342
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-11_Isotype-IgA,IGH,80,157,157
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S15_Naive-B-Cells_igblastn_IGHG,IGH,25,415,583
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHM_SIT_tissue-PBMC_subject-5_timepoint-56_Age-23_SRR5755018_iglblastn_iglblastn_IGHM,IGH,1348,1498,1594
Rettig_2018_Light_spleen_cells_Bulk_spleen_cells_1_iglblastn_Bulk,IGH,755,799,801
Wu_2015_Light_Visit_F_L-chain_F-visit_2008-year_01-month_17-day_iglblastn,IGK,57268,309345,454748
Levin_2015_SIT_timepoint-56_tissue-PBMC_Bulk_SIT_tissue-PBMC_subject-1_timepoint-56_Age-38_SRR5755113_iglblastn_iglblastn_Bulk,IGH,6694,7780,9162
Waltari_2018_Light_Healthy_PBMCs_Bulk_Heavy_Healthy_PBMCs_BD5_igblastn_Bulk,IGK,79244,669190,1321271
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S48_Naive-B-Cells_igblastn_IGHA,IGH,2,15,15
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S30_Naive-B-Cells_igblastn_Bulk,IGH,350,527,610
Levin_2015_NoSIT_timepoint-0_tissue-Biopsy_IGHA_NoSIT_tissue-Biopsy_subject-9_timepoint-0_Age-25_SRR5755078_iglblastn_iglblastn_IGHA,IGH,1085,1175,1273
Briney_2019_Subject_326907_IgE_Subject-326907_Replicate-9_Isotype-IgE,IGH,122,179,179
Mroczek_2014_IGHE_Memory-B-cell-IgD-negative_iglblastn_igblastn_IGHE,IGH,2,2,2
Ellebedy_2016_Day-7_HA-positive-antibody-secreting-cell_IGHG_HA-positive-antibody-secreting-cell_Day-7_Donor-5_igblastn_IGHG,IGH,219,3686,5300
Briney_2019_Subject_326780_IgD_Subject-326780_Replicate-3_Isotype-IgD,IGH,7,8,8
